station,time,day,geometry
common,7.1,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,7.2,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,8.15,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,8.35,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,9.2,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,9.4,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,10.25,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,10.45,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,11.3,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,11.5,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,12.35,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,12.55,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,13.4,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,14,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,14.45,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,15.05,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,15.5,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,16.1,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,16.55,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,17.15,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,18,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,18.2,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,19.3,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,19.5,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,21,Monday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,21.2,Monday,"POINT(39.325579562917234, -82.10174019597717)"
common,7.1,Friday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,7.2,Friday,"POINT(39.325579562917234, -82.10174019597717)"
common,8.15,Friday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,8.35,Friday,"POINT(39.325579562917234, -82.10174019597717)"
common,9.2,Friday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,9.4,Friday,"POINT(39.325579562917234, -82.10174019597717)"
common,10.25,Friday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,10.45,Friday,"POINT(39.325579562917234, -82.10174019597717)"
common,11.3,Friday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,11.5,Friday,"POINT(39.325579562917234, -82.10174019597717)"
common,12.35,Friday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,12.55,Friday,"POINT(39.325579562917234, -82.10174019597717)"
common,13.4,Friday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,14,Friday,"POINT(39.325579562917234, -82.10174019597717)"
common,14.45,Friday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,15.05,Friday,"POINT(39.325579562917234, -82.10174019597717)"
common,15.5,Friday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,16.1,Friday,"POINT(39.325579562917234, -82.10174019597717)"
common,16.55,Friday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,17.15,Friday,"POINT(39.325579562917234, -82.10174019597717)"
common,7.1,Tuesday,"POINT(39.332409419254944, -82.11133866004695)"
Baker,7.2,Tuesday,"POINT(39.325579562917234, -82.10174019597717)"
common,8.4,Tuesday,"POINT(39.332409419254944, -82.11133866004695)"
